City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tazovsky,67.4667,78.7,-6.44,86,100,9.02,RU,2024-11-26
1,labytnangi,66.6572,66.4183,-5.42,90,100,10.14,RU,2024-11-26
2,wailua homesteads,22.0669,-159.378,25.44,74,0,7.72,US,2024-11-26
3,vilyuysk,63.7553,121.6247,-20.06,91,100,3.65,RU,2024-11-26
4,port-aux-francais,-49.35,70.2167,3.24,77,56,15.64,TF,2024-11-26
5,albany,42.6001,-73.9662,1.34,80,100,0.99,US,2024-11-26
6,ribeira grande,38.5167,-28.7,19.87,92,17,5.81,PT,2024-11-26
7,west island,-12.1568,96.8225,26.99,94,75,9.77,CC,2024-11-26
8,grytviken,-54.2811,-36.5092,0.52,72,99,2.79,GS,2024-11-26
9,new norfolk,-42.7826,147.0587,22.62,32,6,2.65,AU,2024-11-26
10,sitka,57.0531,-135.33,3.94,70,100,2.57,US,2024-11-26
11,bonthe,7.5264,-12.505,25.92,81,19,2.27,SL,2024-11-26
12,iqaluit,63.7506,-68.5145,-12.15,72,100,2.57,CA,2024-11-26
13,walvis bay,-22.9575,14.5053,14.11,93,76,4.34,NA,2024-11-26
14,egilsstadir,65.2653,-14.3948,-8.05,57,0,3.6,IS,2024-11-26
15,fastiv,50.0767,29.9177,-4.24,84,8,2.61,UA,2024-11-26
16,watsa,3.0372,29.5355,17.12,98,100,1.39,CD,2024-11-26
17,juan griego,11.0817,-63.9655,21.07,100,8,4.63,VE,2024-11-26
18,yellowknife,62.456,-114.3525,-5.88,93,100,6.71,CA,2024-11-26
19,waitangi,-43.9535,-176.5597,14.9,92,44,3.58,NZ,2024-11-26
20,vorgashor,67.5833,63.95,-4.19,94,100,12.14,RU,2024-11-26
21,kannur,11.8675,75.3576,24.1,69,100,2.01,IN,2024-11-26
22,port mathurin,-19.6833,63.4167,24.63,73,7,7.53,MU,2024-11-26
23,juan rodriguez clara,17.9833,-95.4083,19.66,84,8,1.36,MX,2024-11-26
24,sinabang,2.4803,96.3801,24.78,95,100,0.81,ID,2024-11-26
25,georgetown,5.4112,100.3354,29.97,77,40,2.24,MY,2024-11-26
26,bargaal,11.2864,51.0773,25.21,71,2,2.18,SO,2024-11-26
27,punta arenas,-53.15,-70.9167,10.06,66,20,4.12,CL,2024-11-26
28,aasiaat,68.7098,-52.8699,-5.29,71,100,6.98,GL,2024-11-26
29,hamilton,39.1834,-84.5333,13.68,92,100,11.62,US,2024-11-26
30,klaksvik,62.2266,-6.589,3.73,65,100,12.23,FO,2024-11-26
31,udachny,66.4167,112.4,-21.28,98,100,3.09,RU,2024-11-26
32,nar'yan-mar,67.6713,53.087,1.31,93,100,13.04,RU,2024-11-26
33,mirny,62.5353,113.9611,-19.1,96,100,5.17,RU,2024-11-26
34,lata,40.1629,-8.3327,9.02,83,100,1.24,PT,2024-11-26
35,crucecita,-28.95,-58.9833,22.32,94,24,4.69,AR,2024-11-26
36,hawaiian paradise park,19.5933,-154.9731,25.73,82,100,4.12,US,2024-11-26
37,mogadishu,2.0371,45.3438,26.75,84,23,5.24,SO,2024-11-26
38,bethel,41.3712,-73.414,5.74,72,99,0.58,US,2024-11-26
39,adamstown,-25.066,-130.1015,22.56,77,20,8.18,PN,2024-11-26
40,tambura,5.6,27.4667,20.48,54,16,1.12,SS,2024-11-26
41,alofi,-19.0595,-169.9187,26.94,83,40,5.14,NU,2024-11-26
42,edinburgh of the seven seas,-37.0676,-12.3116,13.41,75,100,7.4,SH,2024-11-26
43,iwanai,42.9744,140.5089,7.81,56,65,3.25,JP,2024-11-26
44,bryne,58.7354,5.6477,9.41,81,75,10.29,NO,2024-11-26
45,nizhnyaya omka,55.4338,74.9426,-13.04,83,73,1.53,RU,2024-11-26
46,sastobe,42.55,70.0,9.79,33,90,2.54,KZ,2024-11-26
47,port elizabeth,-33.918,25.5701,18.16,92,0,6.17,ZA,2024-11-26
48,aswan,24.0934,32.907,11.61,58,0,2.57,EG,2024-11-26
49,reggane,26.7158,0.1714,18.82,38,23,5.32,DZ,2024-11-26
50,al ahmadi,29.0769,48.0839,22.47,71,54,4.34,KW,2024-11-26
51,puerto natales,-51.7236,-72.4875,7.57,85,6,1.11,CL,2024-11-26
52,college,64.8569,-147.8028,-4.35,85,75,1.54,US,2024-11-26
53,bredasdorp,-34.5322,20.0403,15.15,56,96,7.36,ZA,2024-11-26
54,homer,59.6425,-151.5483,3.78,77,20,4.92,US,2024-11-26
55,flying fish cove,-10.4217,105.6791,28.07,75,47,1.98,CX,2024-11-26
56,tiksi,71.6872,128.8694,-18.51,78,100,11.6,RU,2024-11-26
57,thompson,55.7435,-97.8558,-11.91,85,100,5.66,CA,2024-11-26
58,jamestown,42.097,-79.2353,8.9,90,100,3.09,US,2024-11-26
59,hotan,37.0997,79.9269,3.54,29,96,2.24,CN,2024-11-26
60,olonkinbyen,70.9221,-8.7187,-2.77,75,100,5.68,SJ,2024-11-26
61,bulgan,48.8125,103.5347,-8.92,62,98,2.61,MN,2024-11-26
62,colonia,50.9333,6.95,9.42,84,0,2.57,DE,2024-11-26
63,ilulissat,69.2167,-51.1,-3.99,68,75,5.66,GL,2024-11-26
64,daru,-9.0763,143.2092,28.02,84,48,5.76,PG,2024-11-26
65,krong kep,10.4833,104.3167,26.17,74,89,6.47,KH,2024-11-26
66,whitehorse,60.7161,-135.0538,-12.57,85,100,0.0,CA,2024-11-26
67,margaret river,-33.95,115.0667,16.98,47,8,7.09,AU,2024-11-26
68,nikolayevsk-on-amure,53.1406,140.73,-4.74,67,86,0.9,RU,2024-11-26
69,chibougamau,49.9168,-74.3659,-3.21,100,100,0.0,CA,2024-11-26
70,sampit,-2.5333,112.95,32.25,58,100,1.3,ID,2024-11-26
71,pangody,65.85,74.4859,-6.34,85,100,10.06,RU,2024-11-26
72,blackmans bay,-43.0167,147.3167,21.96,70,63,0.45,AU,2024-11-26
73,piacabucu,-10.4056,-36.4344,24.79,87,100,2.05,BR,2024-11-26
74,youghal,51.95,-7.8506,3.64,95,7,2.95,IE,2024-11-26
